,count,mean,std,min,25%,50%,75%,max
DisagreementInvFComp,16007.0,0.14434905439161513,0.11487419231988447,0.0019251120374824,0.045905170499999995,0.10452274,0.25336857,0.3269133834484
DisagreementInvFCompDir,16007.0,0.10631231311875904,0.07405082517130342,0.0049292638591416,0.043950155,0.08440385,0.16531372,0.2311619850956
PPI,2197.0,153.33796145645428,32.45981583966667,100.0,129.3728021978022,154.63339366515837,166.91516327248877,377.91434018591855
CPI,16007.0,244.66742237770973,22.9239326163533,188.883,232.957,240.007,258.811,292.655
Pk,16007.0,101.95541994127568,2.480670726003976,99.453,99.921,101.499,102.857,108.078
baa_rate,16007.0,0.060000000000000026,2.7756442638686234e-17,0.06,0.06,0.06,0.06,0.06
cap_real,2197.0,586.2257129637748,1756.733947810743,0.0,16.158566387156885,75.77711863715308,295.3964935781288,14389.839707163168
be_real,2192.0,3251.3132208742136,10032.792925677262,-8907.238841245748,162.78415068912977,571.8171577717089,1985.8573496828521,113568.10556253172
inv_rep,16007.0,658.5403887049416,2159.822968016985,0.0,3.7695,76.971,432.4755,56511.0
K_rep,15916.0,5291.77104238029,23595.301828348118,0.0180889599875143,93.55620718335123,446.98938575516627,2123.9925627961766,521561.2273070509
MktDebt,16007.0,169.765834178297,560.4392482868444,0.0,1.6430129999999998,22.216998,111.27729,11069.082
MktEquity,16007.0,11695.139973207704,35823.08160680671,-1304.3455032999998,442.77292666666665,1798.21722,7103.00305,921935.35
K_lag,15916.0,4863.294609195316,21988.635772378708,0.016,78.82739362097738,388.08081417250025,1903.8036843575262,473665.73447465297
K_denom,16007.0,4843.451213091314,21928.95719846972,0.016,79.06875687070459,385.6306217777518,1891.2683657736943,473665.73447465297
Tobins_Q,16007.0,1.902943429149908,1.2288858232299291,-1.4150606624367903,0.8628596859812931,1.83708879125978,3.226665112086449,3.501498845153116
invest_cap_sum,16007.0,0.12494918696474185,0.08137811361717166,0.0037545446931111,0.059676991228853296,0.1041622639778588,0.18347960940452873,0.2647982028366079
invest_cap,16007.0,0.21522440151344516,0.17042355019752584,0.0,0.10787348276206879,0.1733870967741935,0.27553502157115717,5.394924309884239
cash_flow,16007.0,0.4493307990874713,0.6355786341971045,-0.6806457692978914,0.1062836069591751,0.3802763673010582,0.9047343759703099,1.441198503900008
